Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Vinnie Pasquantino,25,51,Maj-AL,Kansas City,61,260,231,24,57,17,0,9,26,25,2,31,2,0,1,7,0,0,0.247,0.324,0.437,0.762,686469
Joc Pederson,31,0,Maj-NL,San Francisco,70,252,208,39,51,8,2,11,37,37,2,53,5,0,2,7,0,0,0.245,0.369,0.462,0.831,592626
Liover Peguero,22,0,Maj-NL,Pittsburgh,9,27,25,3,6,1,0,2,6,1,0,11,1,0,0,0,0,0,0.24,0.296,0.52,0.816,678894
Jeremy Pe\xc3\xb1a,25,0,Maj-AL,Houston,95,401,371,49,89,18,1,10,39,20,1,88,8,0,1,4,10,7,0.24,0.293,0.375,0.667,665161
David Peralta,35,0,Maj-NL,Los Angeles,86,277,259,27,71,12,1,7,37,14,1,46,1,0,3,4,1,1,0.274,0.311,0.409,0.72,444482
Oswald Peraza,23,4,Maj-AL,New York,19,64,52,5,9,1,0,0,6,8,0,16,4,0,0,1,4,1,0.173,0.328,0.192,0.52,672724
Geraldo Perdomo,23,0,Maj-NL,Arizona,88,328,269,46,75,16,3,5,37,44,1,52,4,9,2,1,12,2,0.279,0.386,0.416,0.802,672695
Carlos P\xc3\xa9rez,32,29,Maj-AL,Oakland,47,140,125,12,29,4,0,5,17,11,0,27,1,0,3,1,0,0,0.232,0.293,0.384,0.677,542208
Carlos P\xc3\xa9rez,26,7,Maj-AL,Chicago,12,16,15,0,2,1,0,0,1,1,0,5,0,0,0,1,0,0,0.133,0.188,0.2,0.388,656024
Michael Perez,30,73,Maj-NL,New York,2,7,7,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0.571,0.571,0.714,1.286,605421
Roberto P\xc3\xa9rez,34,114,Maj-NL,San Francisco,5,17,15,0,2,0,0,0,1,2,0,6,0,0,0,0,0,0,0.133,0.235,0.133,0.369,547379
Salvador Perez,33,0,Maj-AL,Kansas City,95,391,365,41,90,16,0,17,44,13,3,95,10,0,3,9,0,0,0.247,0.289,0.43,0.719,521692
Blake Perkins,26,0,Maj-NL,Milwaukee,51,132,113,19,24,4,0,2,15,17,0,38,0,2,0,1,5,2,0.212,0.315,0.301,0.616,663368
Jace Peterson,33,1,Maj-AL,Oakland,92,324,281,30,62,7,2,6,28,36,1,77,3,1,3,6,11,1,0.221,0.313,0.324,0.637,607054
Tommy Pham,35,0,Maj-NL,New York,79,264,231,29,62,15,1,10,36,29,1,56,1,0,3,2,11,1,0.268,0.349,0.472,0.82,502054
Brett Phillips,29,76,Maj-AL,Los Angeles,19,16,13,3,1,0,0,0,2,3,0,8,0,0,0,0,3,0,0.077,0.25,0.077,0.327,621433
Kevin Pillar,34,4,Maj-NL,Atlanta,51,121,115,17,28,7,0,6,18,5,0,29,0,0,1,0,3,0,0.244,0.273,0.461,0.734,607680
Manny Pi\xc3\xb1a,36,21,Maj-AL,Oakland,4,12,12,1,3,0,0,1,1,0,0,3,0,0,0,1,0,0,0.25,0.25,0.5,0.75,444489
