last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Alvarez, Francisco,682626,2023,272,180,0.232,0.215,0.017,0.5,0.433,0.067,0.338,0.308,0.03
Massey, Michael,686681,2023,272,183,0.217,0.253,-0.036,0.353,0.434,-0.081,0.273,0.323,-0.0499999999999999
Maton, Nick,665155,2023,271,165,0.175,0.195,-0.02,0.301,0.339,-0.038,0.272,0.294,-0.0219999999999999
Taylor, Michael A.,572191,2023,271,160,0.219,0.22,-0.001,0.414,0.436,-0.022,0.293,0.304,-0.011
Mateo, Jorge,622761,2023,271,186,0.211,0.232,-0.021,0.341,0.364,-0.0229999999999999,0.262,0.284,-0.0219999999999999
Urías, Ramón,602104,2023,270,177,0.253,0.225,0.0279999999999999,0.38,0.351,0.029,0.308,0.287,0.021
Turang, Brice,668930,2023,270,182,0.208,0.213,-0.005,0.314,0.323,-0.009,0.262,0.272,-0.01
Gallo, Joey,608336,2023,267,116,0.178,0.155,0.0229999999999999,0.448,0.426,0.022,0.318,0.302,0.016
Rojas, Miguel,500743,2023,266,213,0.218,0.256,-0.038,0.263,0.341,-0.078,0.244,0.293,-0.0489999999999999
Wong, Connor,657136,2023,266,156,0.25,0.208,0.042,0.402,0.36,0.042,0.308,0.276,0.0319999999999999
Pham, Tommy,502054,2023,264,178,0.268,0.297,-0.0289999999999999,0.472,0.524,-0.052,0.352,0.39,-0.038
Meyers, Jake,676694,2023,264,165,0.231,0.217,0.014,0.385,0.36,0.025,0.308,0.296,0.012
Kirk, Alejandro,672386,2023,264,205,0.256,0.252,0.004,0.359,0.383,-0.024,0.31,0.318,-0.008
Grichuk, Randal,545341,2023,263,190,0.308,0.278,0.0299999999999999,0.496,0.444,0.0519999999999999,0.368,0.34,0.0279999999999999
Flores, Wilmer,527038,2023,263,199,0.3,0.254,0.0459999999999999,0.532,0.424,0.108,0.376,0.323,0.0529999999999999
McCormick, Chas,676801,2023,262,160,0.285,0.243,0.0419999999999999,0.526,0.467,0.059,0.384,0.349,0.035
Mancini, Trey,641820,2023,261,160,0.235,0.213,0.0219999999999999,0.338,0.325,0.013,0.28,0.27,0.01
Pasquantino, Vinnie,686469,2023,260,201,0.247,0.279,-0.032,0.437,0.449,-0.012,0.328,0.35,-0.0219999999999999
Haase, Eric,606992,2023,259,172,0.197,0.217,-0.0199999999999999,0.275,0.313,-0.0379999999999999,0.227,0.255,-0.0279999999999999
Alvarez, Yordan,670541,2023,259,161,0.286,0.278,0.0079999999999999,0.594,0.591,0.003,0.415,0.417,-0.002
Margot, Manuel,622534,2023,258,195,0.254,0.25,0.004,0.364,0.351,0.013,0.294,0.297,-0.003
Kirilloff, Alex,666135,2023,258,158,0.27,0.257,0.013,0.442,0.409,0.033,0.348,0.334,0.0139999999999999
Walker, Jordan,691023,2023,257,177,0.268,0.264,0.004,0.426,0.42,0.006,0.331,0.328,0.003
Gomes, Yan,543228,2023,256,192,0.278,0.248,0.03,0.449,0.394,0.0549999999999999,0.328,0.312,0.016
McCarthy, Jake,664983,2023,256,178,0.256,0.247,0.009,0.352,0.339,0.0129999999999999,0.305,0.299,0.006
Siri, Jose,642350,2023,254,149,0.226,0.218,0.008,0.523,0.459,0.064,0.33,0.307,0.023
Gurriel, Yuli,493329,2023,254,203,0.268,0.243,0.025,0.386,0.327,0.059,0.308,0.282,0.026
Andrus, Elvis,462101,2023,254,186,0.208,0.234,-0.026,0.279,0.306,-0.0269999999999999,0.255,0.279,-0.024
Morel, Christopher,666624,2023,253,150,0.282,0.252,0.0299999999999999,0.542,0.483,0.059,0.376,0.345,0.031
Pederson, Joc,592626,2023,252,157,0.245,0.266,-0.021,0.462,0.507,-0.0449999999999999,0.359,0.386,-0.027
Sabol, Blake,666165,2023,252,145,0.252,0.209,0.043,0.43,0.385,0.0449999999999999,0.318,0.288,0.03
Díaz, Aledmys,649557,2023,252,186,0.209,0.222,-0.013,0.283,0.306,-0.023,0.243,0.263,-0.02
Thaiss, Matt,642136,2023,249,145,0.234,0.24,-0.0059999999999999,0.349,0.404,-0.055,0.315,0.34,-0.025
Wisdom, Patrick,621550,2023,247,125,0.195,0.218,-0.0229999999999999,0.488,0.495,-0.007,0.332,0.346,-0.0139999999999999
Moreno, Gabriel,672515,2023,244,173,0.27,0.253,0.017,0.36,0.368,-0.008,0.296,0.301,-0.005
Bleday, JJ,668709,2023,243,152,0.212,0.205,0.007,0.384,0.345,0.039,0.316,0.303,0.013
Ibáñez, Andy,628451,2023,243,187,0.241,0.263,-0.022,0.414,0.457,-0.043,0.296,0.324,-0.028
Blackmon, Charlie,453568,2023,242,181,0.265,0.258,0.007,0.422,0.406,0.0159999999999999,0.336,0.334,0.002
Heyward, Jason,518792,2023,241,159,0.245,0.229,0.0159999999999999,0.461,0.386,0.075,0.346,0.318,0.0279999999999999
Kiner-Falefa, Isiah,643396,2023,240,178,0.257,0.26,-0.003,0.374,0.367,0.007,0.306,0.307,-0.001
Senzel, Nick,669222,2023,239,163,0.23,0.249,-0.0189999999999999,0.38,0.37,0.01,0.301,0.308,-0.007
Bae, Ji Hwan,678225,2023,239,161,0.238,0.221,0.0169999999999999,0.308,0.297,0.011,0.274,0.265,0.009
Neto, Zach,687263,2023,238,164,0.251,0.25,0.001,0.427,0.44,-0.013,0.328,0.334,-0.006
Sánchez, Jesús,660821,2023,238,154,0.257,0.276,-0.019,0.468,0.495,-0.0269999999999999,0.337,0.357,-0.0199999999999999
Vázquez, Christian,543877,2023,237,163,0.224,0.234,-0.01,0.308,0.334,-0.026,0.268,0.284,-0.0159999999999999
Laureano, Ramón,657656,2023,237,146,0.22,0.22,0.0,0.376,0.361,0.015,0.288,0.285,0.003
Moustakas, Mike,519058,2023,236,151,0.267,0.227,0.04,0.438,0.399,0.0389999999999999,0.333,0.305,0.028
Burleson, Alec,676475,2023,234,190,0.239,0.269,-0.03,0.394,0.431,-0.0369999999999999,0.298,0.326,-0.028
Farmer, Kyle,571657,2023,234,154,0.259,0.263,-0.004,0.401,0.429,-0.0279999999999999,0.315,0.328,-0.013
Jansen, Danny,643376,2023,234,164,0.228,0.22,0.008,0.479,0.41,0.069,0.327,0.3,0.027
